Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
Nec placer,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Native American or American Indian;Other,None,Classical Languages;Gender Sexuality and Feminist Studies;History,Sexuality Studies,Aerospace Engineering;Information Science and Information Studies;Policy Journalism and Media Studies,None / Not listed;MBA (Masters of Business Administration);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),China,Energy and Utilities,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Reading,9,7,2,4,8,4,10,6,0
Nullam tem,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;White;Other;Prefer not to answer,None,Ancient Religion and Society;Cultural Anthropology,Brazilian and Global Portuguese Studies;Cultural Anthropology;Dance,Jewish Studies,MeD (Master of Education);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration),Charlotte NC;Miami/Central Florida/Tampa Bay,Arts / Creative Industries,Personal growth and self-improvement;Work-life balance and time management;Emotional support,Performing Arts,7,4,4,2,10,6,8,7,0
Et. Portti,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Prefer not to answer,None,Art History and Visual Arts;Biophysics;Chemistry,Musical Theater,Architectural Engineering;Policy Journalism and Media Studies;Sustainability Engagement,None / Not listed;Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MM (Master in Management),Northern California;Baltimore MD;China,Medical,Academic success and study skills;Personal growth and self-improvement;Work-life balance and time management,Watching Sports,1,0,7,4,9,3,0,0,0
Pretium vi,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Native American or American Indian;White;Prefer not to answer,None,French Studies;Marine Science and Conservation;Philosophy,Musical Theater,Robotics and Automation;Science and the Public,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MA (Master of Arts);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MEng (Master of Engineering),Northern California,Technology / Software / IT;Politics / Government and public sector;Fashion and Apparel,Work-life balance and time management;Emotional support,Traveling;Performing Arts;Time with Friends,8,7,4,9,8,4,3,1,0
Velit lore,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Interdisciplinary Engineering and Applied Science (IDEAS);Music;Political Science,Music;Spanish Studies,Islamic Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Baltimore MD,Accounting,Skill development in a specific field;Work-life balance and time management,Watching Sports;Movies/TV,3,1,9,3,5,5,2,10,0
Magna turp,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Mathematics;Romance Studies,Dance;Psychology,Science and the Public,MBA (Masters of Business Administration);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),Atlanta GA;Chicago IL;China,Environmental Science;Veterinary Medicine,Networking and professional connections;Emotional support,Gaming,5,6,7,8,2,3,1,1,0
Proin maec,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other,None,Ancient Religion and Society;Economics;Political Science,Earth and Climate Sciences;Mathematics,None,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),UK,Energy and Utilities;Construction;Telecommunications,Skill development in a specific field;Personal growth and self-improvement;Emotional support,Music/Dance,0,3,6,3,7,7,6,9,0
Tempus pri,testemail@qemailserver.com,Trinity,Junior,Middle Eastern;Native American or American Indian;Other,None,Art History;History,Musical Theater,Latin American Studies;Robotics and Automation,None / Not listed;PhD (Doctor of Philosophy);MA (Master of Arts);Psy.D (Doctor of Psychology);MHA (Master of Healthcare Administration);MPH (Master of Public Health),Baltimore MD;EU,Technology / Software / IT;Law / Legal Services;Research and Development,Networking and professional connections;Work-life balance and time management,Visual Arts/Crafts;Movies/TV;Time with Friends,5,9,5,5,1,3,7,4,0
Amet plate,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Spanish Latin American and Latinx Studies,Visual Arts;Visual and Media Studies,Aerospace Engineering;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Nashville TN;UK,Architecture and Design,Skill development in a specific field;Emotional support,Fashion;Gaming;Traveling,0,5,0,1,7,1,6,0,0
Vulputate ,testemail@qemailserver.com,Pratt,Sophomore,Native American or American Indian,None,Biomedical Engineering;Psychology,French Studies;Sociology;Theater Studies,Digital Intelligence;Ethics and Society;Latinx Studies in the Global South,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MSW (Master of Social Work);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Miami/Central Florida/Tampa Bay,Consulting and professional services;Agricultural and Food Science;Venture Capital,Career exploration and decision-making;Work-life balance and time management;Emotional support,Fashion;Gardening,1,5,1,9,8,8,0,6,0
Fusce tell,testemail@qemailserver.com,Trinity,Senior,Hispanic or Latinx;White;Other;Prefer not to answer,None,Environmental Sciences and Policy;Philosophy;Undecided,Environmental Sciences and Policy;Visual and Media Studies,None;Philosophy Politics and Economics,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),I don't know/Skip this question;UK;China,Biotechnology,Networking and professional connections;Personal growth and self-improvement;Work-life balance and time management,Volunteering,2,9,5,8,0,9,1,3,0
Vel alique,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Cultural Anthropology;Music,Cinematic Arts;Musical Theater,Digital Intelligence;Islamic Studies,None / Not listed;MBA (Masters of Business Administration);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management),Houston/Dallas/Austin,Product / Product Management / UX Design;International Relations;Academia / Higher Ed,Academic success and study skills;Work-life balance and time management;Emotional support,Volunteering,8,4,4,8,8,1,1,1,0
Elementum!,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Middle Eastern;Native American or American Indian;Other,None,Physics,Asian and Middle Eastern Studies;Medical Sociology;Religious Studies,None,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration);MM (Master in Management),New York City/Tri-State area;Charlotte NC;Denver CO,Healthcare;Physical Therapy,Networking and professional connections;Work-life balance and time management;Emotional support,Athletics/Playing Sports;Volunteering;Fishing/Hunting,7,5,0,4,2,9,7,9,0
Proin feli,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;Other,None,Political Science,Mathematics,Decision Sciences;Science and the Public,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPH (Master of Public Health),Washington DC;Richmond VA;EU,Architecture and Design,Networking and professional connections;Personal growth and self-improvement,Gaming;Gardening;Time with Friends,9,3,10,4,9,5,8,5,0
Porttitor ,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other,None,Brazilian and Global Portuguese Studies;Environmental Engineering,Art History;Religious Studies,Decision Sciences;Documentary Studies;Philosophy Politics and Economics,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MEng (Master of Engineering),Richmond VA,Real estate;Private Equity,Skill development in a specific field;Personal growth and self-improvement,Movies/TV,8,7,5,3,5,9,1,2,0
Phasellus ,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Native American or American Indian;White,None,Electrical and Computer Engineering;Marine Science and Conservation;Political Science,History;Latin;Musical Theater,Global Development Engineering;Jewish Studies;Sustainability Engagement,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Denver CO,Architecture and Design;International Relations;Physical Therapy,Skill development in a specific field;Academic success and study skills;Work-life balance and time management,Outdoor Activities/Hiking/Camping,6,3,5,4,9,6,8,3,0
Quis urna ,testemail@qemailserver.com,Pratt,Junior,Native American or American Indian;White;Other,None,Art History;Asian and Middle Eastern Studies,French Studies;Photography,None;Information Science and Information Studies,PhD (Doctor of Philosophy);MEM (Master of Engineering Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MEng (Master of Engineering),I don't know/Skip this question;Chicago IL,Medical;Accounting,Work-life balance and time management;Emotional support,Movies/TV,3,6,0,9,8,10,9,6,0
Erat arcu ,testemail@qemailserver.com,Pratt,Junior,Prefer not to answer,None,Earth and Climate Sciences;Mechanical Engineering,Art History;Musical Theater;Visual and Media Studies,Materials Science and Engineering;Philosophy Politics and Economics;Science and the Public,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Northern California;Chicago IL;Baltimore MD,Telecommunications,Career exploration and decision-making;Work-life balance and time management,Fishing/Hunting,2,3,1,3,3,7,8,6,0
Laoreet ne,testemail@qemailserver.com,Trinity,Junior,Black or African-American,None,Linguistics and Computer Science;Physics;Sociology,Economics,Science and the Public,MEM (Master of Engineering Management);MSN (Master of Science in Nursing),Charlotte NC;Denver CO;EU,Retail and e-commerce,Skill development in a specific field,Volunteering;Performing Arts,1,7,1,6,5,7,2,6,0
Convallis ,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Music,History;Political Science;Theater Studies,Aerospace Engineering;East Asian Studies;Health Policy,MA (Master of Arts);MSN (Master of Science in Nursing);MHA (Master of Healthcare Administration);MEng (Master of Engineering),Washington DC;Denver CO,Food and beverage;Biotechnology;Accounting,Work-life balance and time management;Emotional support,Traveling;Time with Friends,2,8,7,1,10,6,3,1,0
Vulputate ,testemail@qemailserver.com,Pratt,Senior,Black or African-American;Hispanic or Latinx;Other,None,Computer Science;Interdisciplinary Engineering and Applied Science (IDEAS);Physics,Chemistry;History,Science and the Public,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MEng (Master of Engineering),Charlotte NC;Baltimore MD,Product / Product Management / UX Design;Academia / Higher Ed;Religion,Work-life balance and time management;Emotional support,Cooking/Baking;Fashion;Pets,3,9,5,7,6,9,1,6,0
