Count,Name (First and Last),NetID,What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Gender,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
94,Vehicula s,94,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian,None,Italian and European Studies,Visual Arts,Decision Sciences,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Philadelphia and mid/southern NJ,Agricultural and Food Science,Networking and professional connections;Emotional support,Fashion,4,6,7,8,2,7,3,0,0
95,Per. Aenea,95,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian,None,Asian and Middle Eastern Studies;Computer Science;Marine Science and Conservation,Computational Biology and Bioinformatics;Evolutionary Anthropology,Aerospace Engineering;Latinx Studies in the Global South;Science and the Public,MD (Doctor of Medicine);MBA (Masters of Business Administration);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin,Journalism;Research and Development,Academic success and study skills;Emotional support,Fitness;Gaming,8,8,4,3,1,5,3,6,0
96,Nec laoree,96,testemail@qemailserver.com,Pratt,Sophomore,Female,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White,None,Environmental Sciences;Medieval and Renaissance Studies,Neuroscience;Russian and East European Literatures in Translation;Spanish Studies,None;Information Science and Information Studies;Islamic Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering),Southern California;Chicago IL;Nashville TN,Finance / Investment / Banking;Product / Product Management / UX Design;Venture Capital,Skill development in a specific field;Networking and professional connections;Work-life balance and time management,Gardening;Visual Arts/Crafts,8,9,1,4,0,3,5,10,0
97,Consectetu,97,testemail@qemailserver.com,Pratt,Senior,Male,Hispanic or Latinx;White;Other;Prefer not to answer,None,Civil Engineering;Economics;Slavic and Eurasian Studies,Sociology;Statistical Science,Decision Sciences;Islamic Studies;Philosophy Politics and Economics,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration),Pacific Northwest/Seattle;China,Real estate;Pharmaceutical,Skill development in a specific field;Emotional support,Time with Friends,0,2,1,8,6,9,10,4,0
98,Platea ac ,98,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,English;Global Cultural Studies;Physics,Marine Science and Conservation,Architectural Engineering;Innovation and Entrepreneurship;Sustainability Engagement,MS (Master of Science);MeD (Master of Education);MPP (Masters of Public Policy);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ;Miami/Central Florida/Tampa Bay,STEM;Aerospace and Defense;Dentistry,Skill development in a specific field;Networking and professional connections;Emotional support,Gaming;Outdoor Activities/Hiking/Camping;Fishing/Hunting,9,10,6,6,7,8,8,7,0
99,Pede pelle,99,testemail@qemailserver.com,Trinity,Sophomore,Male,Black or African-American;Middle Eastern;White;Prefer not to answer,None,Earth and Climate Sciences,Philosophy,Latin American Studies;Materials Science and Engineering;Science and the Public,None / Not listed;JD (Juris Doctorate/Law);MA (Master of Arts);MS (Master of Science);MSN (Master of Science in Nursing);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Philadelphia and mid/southern NJ;Denver CO,Pharmaceutical;Environmental Science,Work-life balance and time management;Emotional support,Cooking/Baking;Fishing/Hunting,7,3,7,0,9,2,5,2,0
100,Laoreet ul,100,testemail@qemailserver.com,Trinity,Junior,Female,Black or African-American;Hispanic or Latinx;Native American or American Indian;Prefer not to answer,None,Slavic and Eurasian Studies,Italian Studies;Linguistics,Digital Intelligence;Human Rights;Innovation and Entrepreneurship,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California;Charlotte NC;Houston/Dallas/Austin,Education;Aerospace and Defense,Networking and professional connections;Personal growth and self-improvement;Work-life balance and time management,Fitness,2,8,2,9,3,1,2,5,0
101,Purus ulla,101,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander,None,Environmental Engineering;Mathematics;Mechanical Engineering,Cultural Anthropology;French Studies,Jewish Studies,MD (Doctor of Medicine);MS (Master of Science);MEM (Master of Environmental Management);MSW (Master of Social Work);MM (Master in Management);MEng (Master of Engineering),Richmond VA;EU,Military,Academic success and study skills;Personal growth and self-improvement,Fitness;Pets,3,3,0,1,7,8,0,8,0
102,Turpis; es,102,testemail@qemailserver.com,Pratt,Sophomore,Female,Middle Eastern;Native American or American Indian;White,None,Art History,Environmental Sciences and Policy;Physics,East Asian Studies;Ethics and Society,MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Southern California;India,Media Entertainment and Sports;Research and Development;Academia / Higher Ed,Emotional support,Volunteering;Movies/TV,8,6,4,9,5,7,3,2,0
103,Nonummy so,103,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Biophysics;Evolutionary Anthropology;Philosophy,Global Cultural Studies;Russian and East European Literatures in Translation,None;Human Rights;Science and the Public,MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MS (Master of Science);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Charlotte NC,Architecture and Design,Personal growth and self-improvement;Emotional support,Gardening,6,6,5,2,1,7,1,6,0
104,Turpis; in,104,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Native American or American Indian;White,None,International Comparative Studies;Linguistics;Political Science,Computer Science;Environmental Sciences and Policy;Linguistics,Child Policy Research;East Asian Studies;Philosophy Politics and Economics,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC;China,Education;Military,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Family Time;Fitness;Outdoor Activities/Hiking/Camping,1,6,10,6,3,2,8,2,0
105,Magnis pel,105,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;Prefer not to answer,None,Statistical Science,Evolutionary Anthropology;Global Health;Neuroscience,Health Policy,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Miami/Central Florida/Tampa Bay,Arts / Creative Industries;Retail and e-commerce;Architecture and Design,Academic success and study skills;Work-life balance and time management;Emotional support,Fashion;Movies/TV,10,6,7,3,1,2,1,7,0
106,Pharetra u,106,testemail@qemailserver.com,Pratt,Sophomore,Female,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Evolutionary Anthropology;Italian and European Studies,Visual and Media Studies,Materials Science and Engineering,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration),Miami/Central Florida/Tampa Bay,STEM;Aerospace and Defense,Networking and professional connections;Personal growth and self-improvement,Cooking/Baking;Athletics/Playing Sports,0,4,8,7,4,0,2,1,0
107,Fermentum ,107,testemail@qemailserver.com,Trinity,Sophomore,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Dance;Statistical Science,Finance;Greek;Italian Studies,Documentary Studies;Latin American Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),EU;India,Technology / Software / IT;Construction,Personal growth and self-improvement,Performing Arts,9,7,9,1,3,6,8,6,0
108,Nec nulla ,108,testemail@qemailserver.com,Pratt,Junior,Female,Middle Eastern;Native American or American Indian;Other,None,Art History;Biology;Classical Civilization,Asian American and Diaspora Studies,East Asian Studies;Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;UK;China,Journalism;Venture Capital,Skill development in a specific field;Networking and professional connections,Family Time,7,5,1,7,5,2,5,6,0
109,Tincidunt ,109,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Environmental Sciences and Policy,Computer Science;Mathematics;Musical Theater,Documentary Studies;Human Rights,JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MEM (Master of Engineering Management);MPP (Masters of Public Policy),Boston MA;EU,Healthcare;Politics / Government and public sector;Biotechnology,Networking and professional connections,Family Time;Outdoor Activities/Hiking/Camping;Music/Dance,9,1,10,5,1,8,9,0,0
110,Laoreet pl,110,testemail@qemailserver.com,Pratt,Sophomore,Female,Asian or Pacific islander;Hispanic or Latinx;White,None,Ancient Religion and Society;Economics;International Comparative Studies,Creative Writing;Medical Sociology,Aerospace Engineering;Human Rights;Islamic Studies,MD (Doctor of Medicine);MA (Master of Arts);MS (Master of Science);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Richmond VA,Marketing / Advertising,Work-life balance and time management,Pets;Reading;Performing Arts,5,4,4,7,4,6,6,7,0
111,Eu augue e,111,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Economics,Machine Learning and Artificial Intelligence;Medieval and Renaissance Studies;Political Science,Robotics and Automation,MA (Master of Arts);Psy.D (Doctor of Psychology);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Denver CO,Biotechnology,Career exploration and decision-making;Networking and professional connections,Movies/TV;Time with Friends,8,4,8,1,8,5,8,3,0
112,Fringilla ,112,testemail@qemailserver.com,Pratt,Sophomore,Female,Middle Eastern,None,Environmental Engineering;Religious Studies,Chemistry;French Studies;Mathematics,None;Aerospace Engineering;Information Science and Information Studies,MD (Doctor of Medicine);MEM (Master of Engineering Management);MSW (Master of Social Work);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Southern California;Pacific Northwest/Seattle;EU,Education;Real estate,Career exploration and decision-making;Academic success and study skills;Personal growth and self-improvement,Gaming;Volunteering,6,9,9,10,6,9,5,9,0
113,Natoque im,113,testemail@qemailserver.com,Trinity,Senior,Male,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Ancient Religion and Society;Marine Science and Conservation;Medieval and Renaissance Studies,History,Information Science and Information Studies;Philosophy Politics and Economics,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Northern California,Medical;Food and beverage;Transportation and logistics,Skill development in a specific field;Academic success and study skills;Emotional support,Fitness;Gardening;Movies/TV,10,7,7,2,8,3,9,6,0
